"id","equip_id","equip_type","equip_name","equip_field","guksa_name","up_down","link_equip_id","link_equip_type","link_equip_name","link_equip_field","link_guksa_name","link_name","cable_aroot","cable_broot"
481,충도_충도R1:MDM-0101_ECLIPSE-INUe-11G-(1///P1),ECLIPSE,충도_충도R1:MDM-0101_ECLIPSE-INUe-11G-(1///P1),MW,충도R1,up,금일중_금일R1:MDM-0203_ECLIPSE-INUe-11G-(1///P1),ECLIPSE,금일중_금일R1:MDM-0203_ECLIPSE-INUe-11G-(1///P1),MW,금일R1,금일R1-충도R1-MW-000001,"","
"
439,탄도_Tando-Saokdo-8540_CTR-8540-11G-(1/2),CTR,탄도_Tando-Saokdo-8540_CTR-8540-11G-(1/2),MW,탄도R1,up,사옥도_Saokdo-Tando-8540_CTR-8540-11G-(1/2),CTR,사옥도_Saokdo-Tando-8540_CTR-8540-11G-(1/2),MW,사옥R1,사옥R1-탄도R1-MW-MDM_02,"","
"
390,평도_Pyungdo-Sonjuk-8312_CTR-8312-8G-(1/2),CTR,평도_Pyungdo-Sonjuk-8312_CTR-8312-8G-(1/2),MW,평도R2,up,손죽도_MDM-0105-01_CTR-8312-11G-(1/2),CTR,손죽도_MDM-0105-01_CTR-8312-11G-(1/2),MW,손죽R1,손죽R1-평도R2-MW-CTR-1S,"","
"
476,하구자도_통합형-0101-01_IP-20F-11G-(1/2),IP-20,하구자도_통합형-0101-01_IP-20F-11G-(1/2),MW,하구자도BBC,up,접도_통합형-0105-02_IP-20F-11G-(1/2),IP-20,접도_통합형-0105-02_IP-20F-11G-(1/2),MW,접도SR,접도SR-하구자도BBC-MW-IP-20F,"","
"
495,하구자도_통합형-0101-01_IP-20F-11G-(1/2),IP-20,하구자도_통합형-0101-01_IP-20F-11G-(1/2),MW,하구자도BBC,up,접도_통합형-0105-02_IP-20F-11G-(1/2),IP-20,접도_통합형-0105-02_IP-20F-11G-(1/2),MW,접도SR,접도SR-하구자도BBC-MW-IP-20F,"","
"
72,하당-MSPP-L-0702-02-02-#2,MSPP,하당-MSPP-L-0702-02-02-#2,전송,하당,down,지도R1-MSPP-L-0208-01-01,MSPP,지도R1-MSPP-L-0208-01-01,전송,지도R1,하당-지도R1-10R-L005,"동목포-하당-FO-0005(99,100)|동목포-수연R1-FO-0001(11,12)|수연R1-압해R1-FO-0002(23,24)|압해R1-운남R1-FO-0001(7,8)|망운R1-운남R1-FO-0002(1,2)|망운R1-현경R1-FO-0001(1,2)|해제R1-현경R1-FO-0001(15,16)|지도R1-해제R1-FO-0003(13,14)","무안-하당-FO-D004(017,018)|무안-망운R1-FO-0003(021,022)|망운R1-해제R1-FO-0001(005,006)|송전R2-해제R1-FO-0002(015,016)|대실R1-송전R2-FO-0001(009,010)|대실R1-지도R1-FO-0002(011,012)"""
71,하당-MSPP-L-0703-01-01-#3,MSPP,하당-MSPP-L-0703-01-01-#3,전송,하당,down,압해R1-MSPP-L-0106-01-01_동목포10R-M001,MSPP,압해R1-MSPP-L-0106-01-01_동목포10R-M001,전송,압해R1,하당-압해R1-10R-M001,"동목포-하당-FO-0005(85,86)|동목포-수연R1-FO-0001(27,28)|수연R1-압해R1-FO-0002(26,27)","무안-하당-FO-D004(125,126)|무안-망운R1-FO-0003(033,034)|망운R1-운남R1-FO-0002(013,014)|압해R1-운남R1-FO-0001(003,004)"""
81,하당-MSPP-L-0703-02-02-#4,MSPP,하당-MSPP-L-0703-02-02-#4,전송,하당,down,압해R1-MSPP-L-0106-01-01_동목포10R-M001,MSPP,압해R1-MSPP-L-0106-01-01_동목포10R-M001,전송,압해R1,하당-압해R1-10R-L002,"동목포-하당-FO-D001(21,22)|동목포-수연R1-FO-0001(47,48)|수연R1-압해R1-FO-0002(57,58)","하당-유교R1-FO-0003(033,034)|유교R1-청계R2-FO-0001(003,004)|망운R1-청계R2-FO-0001(015,016)|망운R1-운남R1-FO-0003(003,004)|압해R1-운남R1-FO-0001(015,016)"""
78,하당-MSPP-L-0705-01-01,MSPP,하당-MSPP-L-0705-01-01,전송,하당,down,비금R1-MSPP-0202-01-01_도초중-10R-M001,MSPP,비금R1-MSPP-0202-01-01_도초중-10R-M001,전송,비금R1,하당-비금R1-10-SA01,"동목포-하당-FO-0006(27,28)|동목포-수연R1-FO-0001(55,56)|수연R1-압해R1-FO-0003(7,8)|송공R1-압해R1-FO-0003(61,62)|송공R1-신석R1-FO-0001(61,62)|신석R1-암태R1-FO-0003(7,8)|암태R1-읍동R1-FO-0002(33,34)|읍동R1-읍동R1-SF-0471(7,8)|비금R1-비금R1-SF-0722(71,72)","대불-하당-FO-0004(089,090)|대불-모밀R1-FO-0003(019,020)|모밀R1-모밀R1-SF-0115(001,002)|마천R2-마천R2-SF-0037(001,002)|마천R2-JNWN화원한전-SF-0039(001,002)|JNWN화원한전-JNYE안좌한전-MF-KTF(0102,007,019)|읍동R1-JNYE안좌한전-SF-0475(001)|읍동R1-읍동R1-SF-0472(017)"""
76,하당-MSPP-L-0705-01-01,MSPP,하당-MSPP-L-0705-01-01,전송,하당,down,읍동R1-MSPP-L-1101-02-02,MSPP,읍동R1-MSPP-L-1101-02-02,전송,읍동R1,하당-읍동R1-10R-SA03,"동목포-하당-FO-0006(27,28)|동목포-수연R1-FO-0001(55,56)|수연R1-압해R1-FO-0003(7,8)|송공R1-압해R1-FO-0003(61,62)|송공R1-신석R1-FO-0001(61,62)|신석R1-암태R1-FO-0003(7,8)|암태R1-읍동R1-FO-0001(35,36)","대불-하당-FO-0004(089,090)|대불-모밀R1-FO-0003(019,020)|모밀R1-모밀R1-SF-0115(001,002)|마천R2-마천R2-SF-0037(001,002)|마천R2-JNWN화원한전-SF-0039(001,002)|JNWN화원한전-JNYE안좌한전-MF-KTF(0102,007,019)|읍동R1-JNYE안좌한전-SF-0475(001)|읍동R1-읍동R1-SF-0472(017)"""
