id	sector	guksa_id	equip_type	equip_model	equip_name	equip_id
12316	MW	1091	CTR	CTR-8540	관리도_Gwanrido-Bangchukdo-8540_CTR-8540-11G-(//1/2)	관리도_Gwanrido-Bangchukdo-8540_CTR-8540-11G-(//1/2) 
12317	MW	110	IP-20	IP-20N-D	군산무선국_(군무-연도)IP-20N[2]_IP-20N-D-HP-8G-(3/4)	군산무선국_(군무-연도)IP-20N[2]_IP-20N-D-HP-8G-(3/4) 
12318	MW	467	IP-20	IP-20N-D	연도(군산)_(연도-군무)IP-20N[2]_IP-20N-D-HP-8G-(3/4)	연도(군산)_(연도-군무)IP-20N[2]_IP-20N-D-HP-8G-(3/4) 
12319	MW	765	IP-20	IP-20N	미륵중_1차망 2R(EBS/SBS-TV,전용)_IP-20N-8G-(3/4)	미륵중_1차망 2R(EBS/SBS-TV,전용)_IP-20N-8G-(3/4)"
12320	MW	463	CTR	CTR-8540	선유도_(선유-방축)CTR-8540[2]_CTR-8540-11G-(//3/4)	선유도_(선유-방축)CTR-8540[2]_CTR-8540-11G-(//3/4) 
12321	MW	460	CTR	CTR-8540	방축도_(방축-선유)CTR-8540[2]_CTR-8540-11G-(//3/4)	방축도_(방축-선유)CTR-8540[2]_CTR-8540-11G-(//3/4) 
12322	MW	110	IP-20	IP-20N-D	군산무선국_(군무-말도)IP-20N_IP-20N-D-8G-(1/2/3/4)	군산무선국_(군무-말도)IP-20N_IP-20N-D-8G-(1/2/3/4) 
12323	MW	457	IP-20	IP-20N-D	말도(군산)_(말도-군무)IP-20N_IP-20N-D-8G-(1/2/3/4)	말도(군산)_(말도-군무)IP-20N_IP-20N-D-8G-(1/2/3/4) 
12324	MW	386	CTR	CTR-8540	격포_(격포-상왕등)CTR-8540[2]_CTR-8540-8G-(//3/4)	격포_(격포-상왕등)CTR-8540[2]_CTR-8540-8G-(//3/4) 
12325	MW	1119	CTR	CTR-8540	상왕등도_(상왕등-격포)CTR-8540[2]_CTR-8540-8G-(//3/4)	상왕등도_(상왕등-격포)CTR-8540[2]_CTR-8540-8G-(//3/4) 
12326	MW	386	IP-20	IP-20N	격포_(격포-위도)IP-20N[1]_IP-20N-8G-(1/2/3)	격포_(격포-위도)IP-20N[1]_IP-20N-8G-(1/2/3) 
12327	MW	386	IP-20	IP-20N	격포_(격포-위도)IP-20N[2]_IP-20N-8G-(4/5/6)	격포_(격포-위도)IP-20N[2]_IP-20N-8G-(4/5/6) 
12328	MW	400	IP-20	IP-20N	위도_(위도-격포)IP-20N[1]_IP-20N-8G-(1/2/3)	위도_(위도-격포)IP-20N[1]_IP-20N-8G-(1/2/3) 
12329	MW	400	IP-20	IP-20N	위도_(위도-격포)IP-20N[2]_IP-20N-8G-(4/5/6)	위도_(위도-격포)IP-20N[2]_IP-20N-8G-(4/5/6) 
12330	MW	765	IP-20	IP-20N	미륵중_1차망 2R(EBS/SBS-TV,전용)_IP-20N-8G-(1/P)	미륵중_1차망 2R(EBS/SBS-TV,전용)_IP-20N-8G-(1/P)"
12331	MW	848	IP-20	IP-20N	망대중_1차망 2R(EBS/SBS-TV,전용)_IP-20N-8G-(1/P)	망대중_1차망 2R(EBS/SBS-TV,전용)_IP-20N-8G-(1/P)"
12332	MW	386	IP-20	IP-20N-D	격포_(격포-식도)IP-20N_IP-20N-D-8G-(1/2)	격포_(격포-식도)IP-20N_IP-20N-D-8G-(1/2) 
12333	MW	398	IP-20	IP-20N-D	식도_(식도-격포)IP-20N _IP-20N-D-8G-(1/2)	식도_(식도-격포)IP-20N _IP-20N-D-8G-(1/2) 
12334	MW	999	IP-20	IP-20N-D	구시포_(구시포-위도)IP-20N[2]_IP-20N-D-8G-(3/4/5/6)	구시포_(구시포-위도)IP-20N[2]_IP-20N-D-8G-(3/4/5/6) 
12335	MW	400	IP-20	IP-20N-D	위도_(위도-구시포)IP-20N[2]_IP-20N-D-8G-(3/4/5/6)	위도_(위도-구시포)IP-20N[2]_IP-20N-D-8G-(3/4/5/6) 
12336	MW	190	IP-20	IP-20N-D	모악중_모악산KBS Drop(EBS-TV)_IP-20N-D-8G-(1//P)	모악중_모악산KBS Drop(EBS-TV)_IP-20N-D-8G-(1//P) 
12337	MW	848	IP-20	IP-20N-D	망대중_모악산 KBS Drop(EBS-TV)_IP-20N-D-8G-(1//P)	망대중_모악산 KBS Drop(EBS-TV)_IP-20N-D-8G-(1//P) 
12338	MW	110	CTR	CTR-8540	군산무선국_(군무-비안)CTR-8540[2]_CTR-8540-8G-(//3/4)	군산무선국_(군무-비안)CTR-8540[2]_CTR-8540-8G-(//3/4) 
12339	MW	111	CTR	CTR-8540	비안도_(비안-군무)CTR-8540[2]_CTR-8540-8G-(//3/4)	비안도_(비안-군무)CTR-8540[2]_CTR-8540-8G-(//3/4) 
12340	MW	463	CTR	CTR-8540	선유도_(선유-명도)CTR-8540_CTR-8540-11G-(//1/2)	선유도_(선유-명도)CTR-8540_CTR-8540-11G-(//1/2) 
12341	MW	458	CTR	CTR-8540	명도_(명도-선유)CTR-8540_CTR-8540-11G-(//1/2)	명도_(명도-선유)CTR-8540_CTR-8540-11G-(//1/2) 
12342	MW	110	IP-20	IP-20N	군산무선국_(군무-개야)IP-20N[2]_IP-20N-6GU-(3/4)	군산무선국_(군무-개야)IP-20N[2]_IP-20N-6GU-(3/4) 
12343	MW	454	IP-20	IP-20N	개야도_(개야-군무)IP-20N[2]_IP-20N-6GU-(3/4)	개야도_(개야-군무)IP-20N[2]_IP-20N-6GU-(3/4) 
12344	MW	592	SMR	SMR9600	양을중_SMR9-0410_SMR9600-4G -(P/1/2)	양을중_SMR9-0410_SMR9600-4G -(P/1/2) 
12345	MW	603	SMR	SMR9600	임자중_SMR9-0201_SMR9600-4G -(P/1/2)	임자중_SMR9-0201_SMR9600-4G -(P/1/2) 
12346	MW	558	SMR	SMR9600	도초중_SMR-0203_SMR9600-6GU-(P/1/2/3/4)	도초중_SMR-0203_SMR9600-6GU-(P/1/2/3/4) 
12347	MW	628	SMR	SMR9600	흑산도_SMR9-0204_SMR9600-6GU-(P/1/2/3/4)	흑산도_SMR9-0204_SMR9600-6GU-(P/1/2/3/4) 
12348	MW	592	ECLIPSE	ECLIPSE-INUe	양을중_MDM-0106_ECLIPSE-INUe-11G-(1///P1)	양을중_MDM-0106_ECLIPSE-INUe-11G-(1///P1) 
12349	MW	598	ECLIPSE	ECLIPSE-INUe	우곳도_MDM-0101_ECLIPSE-INUe-11G-(1///P1)	우곳도_MDM-0101_ECLIPSE-INUe-11G-(1///P1) 
12350	MW	589	CDM	CDM-SMR	안좌중_CDM-0207_CDM-SMR-8G-(1/P/2/3)	안좌중_CDM-0207_CDM-SMR-8G-(1/P/2/3) 
12351	MW	588	CDM	CDM-SMR	신의도_CDM-0202_CDM-SMR-8G-(1/P/2/3)	신의도_CDM-0202_CDM-SMR-8G-(1/P/2/3) 
12352	MW	558	CDM	CDM-SMR	도초중_CDM-0309_CDM-SMR-6GL-(1/P/2/3)	도초중_CDM-0309_CDM-SMR-6GL-(1/P/2/3) 
12353	MW	558	CDM	CDM-SMR	도초중_CDM-0105_CDM-SMR-6GL-(1/P/2/3)	도초중_CDM-0105_CDM-SMR-6GL-(1/P/2/3) 
12354	MW	628	CDM	CDM-SMR	흑산도_CDM-0301_CDM-SMR-6GL-(1/P/2/3)	흑산도_CDM-0301_CDM-SMR-6GL-(1/P/2/3) 
12355	MW	592	CDM	CDM-SMR	양을중_CDM-0402_CDM-SMR-6GU-(1/P/2/3)	양을중_CDM-0402_CDM-SMR-6GU-(1/P/2/3) 
12356	MW	558	CDM	CDM-SMR	도초중_CDM-0103_CDM-SMR-6GU-(1/P/2/3)	도초중_CDM-0103_CDM-SMR-6GU-(1/P/2/3) 
12357	MW	628	CDM	CDM-SMR	흑산도_CDM-0303_CDM-SMR-6GL-(1/P/2/3)	흑산도_CDM-0303_CDM-SMR-6GL-(1/P/2/3) 
12358	MW	625	CDM	CDM-SMR	홍도_CDM-0104_CDM-SMR-6GL-(1/P/2/3)	홍도_CDM-0104_CDM-SMR-6GL-(1/P/2/3) 
12359	MW	628	CDM	CDM-SMR	흑산도_CDM-0304_CDM-SMR-6GL-(1/P/2)	흑산도_CDM-0304_CDM-SMR-6GL-(1/P/2) 
12360	MW	623	CDM	CDM-SMR	하태도_CDM-0101_CDM-SMR-6GL-(1/P/2)	하태도_CDM-0101_CDM-SMR-6GL-(1/P/2) 
12361	MW	592	CDM	CDM-SMR	양을중_CDM-0403_CDM-SMR-8G-(1/P/2/3/4)	양을중_CDM-0403_CDM-SMR-8G-(1/P/2/3/4) 
12362	MW	606	CDM	CDM-SMR	자은도_CDM-0201_CDM-SMR-8G-(1/P/2/3/4)	자은도_CDM-0201_CDM-SMR-8G-(1/P/2/3/4) 
12363	MW	589	CDM	CDM-SMR	안좌중_CDM-0206_CDM-SMR-8G-(1/P/2/3)	안좌중_CDM-0206_CDM-SMR-8G-(1/P/2/3) 
12364	MW	609	CDM	CDM-SMR	장산도_CDM-0201_CDM-SMR-8G-(1/P/2/3)	장산도_CDM-0201_CDM-SMR-8G-(1/P/2/3) 
12365	MW	558	CDM	CDM-SMR	도초중_CDM-0104_CDM-SMR-8G-(1/P/2/3)	도초중_CDM-0104_CDM-SMR-8G-(1/P/2/3) 
12366	MW	622	CDM	CDM-SMR	하의도_CDM-0102_CDM-SMR-8G-(1/P/2/3)	하의도_CDM-0102_CDM-SMR-8G-(1/P/2/3) 
12367	MW	558	CDM	CDM-SMR	도초중_CDM-0106_CDM-SMR-6GU-(1/P/2)	도초중_CDM-0106_CDM-SMR-6GU-(1/P/2) 
12368	MW	628	CDM	CDM-SMR	흑산도_CDM-0302_CDM-SMR-6GU-(1/P/2)	흑산도_CDM-0302_CDM-SMR-6GU-(1/P/2) 
